id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
173512,45802,90 Minutes: Sega Championship Football,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21601,71612,911 Fire Rescue,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
171533,73691,A Dark and Stormy Entry,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77735,141554,A Day for Fresh Sushi,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126592,121167,A2 Racer IV: De Politie slaat terug,NULL,2001-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
50895,141497,Abenteuer Stahl,NULL,2001-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
38671,135092,Acid Moon,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
119618,205712,Air Fli: Misuzu-chin Kiki Ippatsu,NULL,2001-12-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87829,18048,Air Trix,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
189641,15827,Airxonix,NULL,2001-12-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
92722,139132,Alien Infestation,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
116207,134562,Alien X,NULL,2001-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
145282,16304,AlterEgo: Browser-Based Life Simulation Game,NULL,2001-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
177630,72035,Ancient Evil: Curse of the Snake Cult,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99571,98963,Anstoß Action,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
182500,71725,Antz Racing,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34501,204565,Apocripha/0 Fanbox Happiness Cage,"An angel falls from Heaven to the Abyss, and here he cultivates a kingdom, the kingdom of Hell (Naraku), becoming the King of Hell. He tries to build a beautiful land, but it can never reach the beauty of Heaven: the demons live in troubled times, being attacked by fallen angels who survive the fall to the Abyss, fearing the bloodshed caused by these insane former angels against them. The King starts to become weak and tired, and with his last power, he gave birth to two new hopes: a prince with golden hair born from his red right eye, and a price with silver hair born from his blue left eye.

The King decides that the two twin prices, Alex and Platina, are to fight each other, and the winner who proves his power will become the new king of Hell, while the loser will face death. As such, Alex and Platina, who never even knew each other, are thrust into a battle against each other, and the future will change depending on the outcome.

Now find out what happened behind the scenes, before the battle for succession was to take place...",2001-12-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154708,43947,Army Men World War: Team Assault,NULL,2001-12-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
119984,73447,Art is Dead,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
50382,11095,Atlantis 3: The New World,NULL,2001-12-31 00:00:00.000,3,NULL,NULL,NULL,NULL,NULL
73191,9056,Atlantis The Lost Empire,NULL,2001-12-31 00:00:00.000,4,NULL,NULL,NULL,60.5990,8
130218,169902,Atlas: The Gift of Aramai,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34820,222109,Azu-Cola,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
162146,222347,Azumanga RPG,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
64151,222183,Azu-Tama,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98128,62016,B-17 Gunner: Air War Over Germany,NULL,2001-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
146427,200377,Baby Felix's Activity Center,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
162541,50902,Backyard Football 2002,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9803,49196,Ballistic: Ecks vs. Sever,NULL,2001-12-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
165171,200589,Barbie Pet Rescue,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107244,129773,Batta Batta: Kejserens Gave,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
156378,198698,Battlebots,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
101996,61898,Battlecruiser Millennium,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
70676,165517,Beauty or the Beast,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
149765,206297,Blasterball Wild,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
136117,5754,Blood Wake,NULL,2001-12-28 00:00:00.000,NULL,NULL,80.0000,1,NULL,NULL
99543,194786,Blue Beard,"Long time ago, or maybe it happened not very long ago, a pirate ship sank off the African coast. Well, the ship sank but a wicked thug Blue Beard survived. He settled in Africa and started to torment animals. He used to tie them up with very thick ropes. Blue Beard used to catch young animals and lock them in cages. He wanted to sell them and get a lot of money.
It could have been a very sad story, but the Parrot had got a good idea. It decided to bring a brave boy Victor to Africa. Victor said that he was not at all afraid of Blue Beard. He took his plane and started to Africa.",2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99580,194787,Blue Beard 2,"A map falls into Victor's hands. Victor is a brave boy and the main character of this story. A place where a treasure is buried is drawn on this map. Victor goes to Africa on a steamship and gets off on an unfamiliar coast. He sets out on his hazardous journey consulting his map.

Victor walks a narrow path in the jungle making his way through lianas. Growling of wild animals is heard from all sides. Suddenly someone comes down onto the path. Why, it is Victor's old friend - the Parrot! They are very glad to see each other. Victor finds out that he is again in the same place where he has fought against the wicked thug Blue Beard not long ago.The Parrot tells Victor that Blue Beard has repaired his ship and he is going to become a pirate again. Victor tells the Parrot that he hopes to find the buried treasure with the help of the animals, of course. The friends start walking forward. Blue Beard jumps out of the bushes. He wants to know why Victor is in Africa again.",2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7029,9701,Blue's Clues: Blue's Big Musical,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
55480,217655,Boardz Freestyle Frenzy,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
147023,93967,Bob et Bobette: Les Dompteurs du Temps,"The criminal Crimson just escape from prison. Lambique disappear mysteriously after this terrible news.
Bob and Bobette investigate and reach the Professor's lab to find Lambique hat in the time machine.
They accept to travel the time to find Lambique.",2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73247,131371,Bounce,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78719,135291,Bulanci,The game sees players battle other Bulanci called EAP (extremely aggressive pillows). It is a 2D game with a top down view. The history within the game follows the trajectory of human history.,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
56497,144405,Bundesliga Manager X,NULL,2001-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
42894,136544,Cabela's Big Game Hunter 5: Platinum,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
176828,72036,Cabela's Ultimate Deer Hunt,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
188349,216292,Cebolinha & Floquinho,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
148639,23249,Chemicus,"A man by the name of Richard accidentally discovers the portal into an unknown city called Chemicus. Richard chooses to enter the city, but when he enters he is captured by strange men wearing white hoods. After being captured he is locked up in a prison, where he is being held. Richard is accused of trespassing in Chemicus, and of attempting to steal ""transmission molecules"" in order to damage the city's energy source. The story is played through the eyes of one of Richard's friends, who enters Chemicus in a bid to help Richard escape captivity.",2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
64059,57682,Chemicus: Journey to the Other Side,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
188350,216294,Chico Bento: Um Dia na Roça,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154569,71228,CIA Operative: Solo Missions,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
104557,70775,Clifford the Big Red Dog: Thinking Adventures,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91295,80574,CoLoBot,NULL,2001-12-31 00:00:00.000,2,1,NULL,NULL,NULL,NULL
164405,4203,Comanche 4,NULL,2001-12-31 00:00:00.000,7,NULL,80.0000,1,62.7124,10
179115,206992,Combat 3D,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
131848,169983,Country House,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
111539,83236,Country Varmint Hunter,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
124019,155011,Creatures: Docking Station,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78316,140504,CrossCraze,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25317,49191,Cruis'n Velocity,NULL,2001-12-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16616,21614,Cube,NULL,2001-12-31 00:00:00.000,NULL,NULL,59.0000,2,NULL,NULL
39327,72868,Cyber Virus: CinciClassic Edition,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
122255,141213,Dark Mist - The Wizard Vanishes,NULL,2001-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
167451,208718,Deep Sea Fishing 2: Offshore Angler,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
63158,142083,Der Clown,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
61386,21951,Des Blood Racing,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120466,141452,Devilman ~Devil mahjong~,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
63019,113964,Dicewars,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104348,142239,Die drei ??? 3 - Gespensterjagd,NULL,2001-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
123803,141154,Die goldene Maske,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
742,91549,Dino Dave,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173571,78286,Disney's Extremely Goofy Skateboarding,"In the first game type, the character needs to collect a number of items. There are 3 goals per level and when two have been completed, a key appears, granting access to a next part. Goofy and Max provide tips in the beginning. The second game type, Tech, has a time restriction. The player needs to score a set amount of points to proceed. The best routes are marked with an orange arrow and tricks can be combined into combos. The third mode, Super Skate, allows free play on the unlocked tracks and the fourth mode is used to practise tricks. After selecting a specific trick, the button combinations appear on the screen and after a demo players need to repeat it. The final game mode, Fun, is a large half pipe in an arena. It is only available when all locations have been unlocked.",2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
160868,50307,Disney's Magic Artist Deluxe,"Discover the tools to bring art to life. Disney's Magic Artist Deluxe is an interactive art studio featuring effects and wacky tools to give kids the power to create their own art. Play with the Blender that mixes up colors and textures with the push of a button, or try a Texture Pumper that gushes out five different 3-D designs. Create desktop patterns with the Tile Tool or give the Pastry Tool a squeeze to squirt frosting and sprinkle on toppings.",2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173609,74101,Disney's Mickey Saves the Day: 3D Adventure,"The town's mayor has gone missing (Mickey, when playing as Minnie and vice versa) and Mickey's arch-nemesis Pete appoints himself as the new mayor. Soon his influence changes the town: a giant factory is built and all the money is stolen from the bank. The player needs to find out what has happened and return the peace.",2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
153538,43724,Disney's Pooh's Party Game: In Search of the Treasure,NULL,2001-12-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
152838,222279,Donkey Kong 5: The Journey of Over Time and Space,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
60903,141526,Dragon Ball Z Tournament,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
177930,132134,Dragon Riders: Chronicles of Pern,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84349,9427,Earth and Sky,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
47932,153618,EB Worlds,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
176036,202701,Economic War,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
136994,94429,Egypte Kids,"The game is set in Heliopolis, a city located on the banks of the River Nile, in Ancient Egypt. The player solves mysteries to learn about subjects like life in Egypt and the Egyptian Gods. Dragoo, a mischievous young dragon, is the player's guide through the game. The game also includes an Ancient Egypt multimedia encyclopaedia.",2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16004,93226,Erevos,NULL,2001-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
117573,49302,ESPN Great Outdoor Games: Bass 2002,NULL,2001-12-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120671,23447,ESPN NFL PrimeTime 2002,NULL,2001-12-31 00:00:00.000,NULL,NULL,47.0000,1,NULL,NULL
93634,136517,Evernight,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86898,137690,Evolution Soccer,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
180196,209247,Family Fun Game Collection,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
115840,200368,Felix the Cat,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71884,73645,Field & Stream: Trophy Hunting 5,NULL,2001-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
31386,60006,First Things First,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
62307,126323,FOG ...Seek the hidden truth,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
144730,206136,Galaxy of Arcade Classics,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
131125,144730,Genshi no Kotoba,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
144229,209597,Get the Bunny,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28125,93211,Gianluca Vialli's European Manager,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
180218,210778,Granbo,NULL,2001-12-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76267,44936,Gunfighter: The Legend of Jesse James,NULL,2001-12-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
111107,49239,Guru Logic Champ,NULL,2001-12-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
142591,134619,Hades 2,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
61315,128762,Hanamushi,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19185,198753,Harry Potter Book of Spells,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19429,198754,Harry Potter Fluffy Action Game,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
190618,198755,Harry Potter Labyrinth,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
118939,198758,Harry Potter: Electronic Quidditch Game,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
171495,198759,Harry Potter: LED Force Feel Game,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19168,198757,Harry Potter: Mini Action Game - Harry Potter,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113716,153616,Hateful Chris: Never Say Buy,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
142395,70002,Haunted Castle 3: Trevor's Quest,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
162366,70991,Hot Wheels: Mechanix,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
118474,142442,House of Cathalon,NULL,2001-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
187391,54103,Hover Ace,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92604,23556,Hugo: Black Diamond Fever,NULL,2001-12-31 00:00:00.000,NULL,NULL,71.0000,1,NULL,NULL
27192,15538,Hugo: The Forces of Nature,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84094,69183,Hunting Unlimited,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
